iter	Logloss
0	0.3614933175
1	0.3543977565
2	0.3530585288
3	0.3515612738
4	0.3506725758
5	0.3501790104
6	0.3498551457
7	0.3497296362
8	0.3497129767
9	0.3496327155
10	0.3492888851
11	0.3490820632
12	0.3489108861
13	0.3487150765
14	0.3486672336
15	0.3484831503
16	0.3480522309
17	0.3476123132
18	0.3475255215
19	0.3474959102
20	0.347234592
21	0.347110281
22	0.3471003433
23	0.3467786248
24	0.3467147166
25	0.3465495914
26	0.3464672028
27	0.3464417686
28	0.3463944255
29	0.346324858
30	0.346272902
31	0.3461919018
32	0.3461362786
33	0.3461197214
34	0.34607461
35	0.3459581908
36	0.3458551331
37	0.3458240175
38	0.3457773569
39	0.3457024826
40	0.3456606355
41	0.3454760518
42	0.3452390213
43	0.3451894627
44	0.3451284488
45	0.3451250201
46	0.3451098063
47	0.3450408446
48	0.3450078072
49	0.3450077064
50	0.3449982247
51	0.3449767032
52	0.3449362905
53	0.3449109437
54	0.344901083
55	0.3447268158
56	0.3446747022
57	0.3446408206
58	0.3446186938
59	0.3445945753
60	0.3445689732
61	0.3444654094
62	0.3443648121
63	0.3443283804
64	0.3442989088
65	0.3442916484
66	0.3442852602
67	0.3442595362
68	0.3442593743
69	0.3442390021
70	0.3442374985
71	0.3442057237
72	0.3441911438
73	0.3441674515
74	0.3441397065
75	0.3440652429
76	0.3440236601
77	0.3440140733
78	0.343961128
79	0.3439034873
80	0.3438521767
81	0.3438210448
82	0.3437887094
83	0.3437623163
84	0.343734768
85	0.3437119689
86	0.3436681589
87	0.3436448476
88	0.343629861
89	0.3435931852
90	0.3435692102
91	0.343569098
92	0.3435590061
93	0.3435504996
94	0.3435190097
95	0.3435183838
96	0.3435172709
97	0.34351221
98	0.3435121896
99	0.3434912338
100	0.3434850851
101	0.3434577356
102	0.3434380859
103	0.3434297853
104	0.3433943898
105	0.3433884118
106	0.3433354655
107	0.3433062609
108	0.3433052033
109	0.3432969184
110	0.3432814467
111	0.3432617704
112	0.3432425213
113	0.3432304783
114	0.3430927696
115	0.3430674655
116	0.3430494092
117	0.3428866791
118	0.3428699633
119	0.342852087
120	0.3428263325
121	0.3427907609
122	0.3427743939
123	0.3427571447
124	0.3427496069
125	0.3427474968
126	0.34274731
127	0.3427241905
128	0.3427222331
129	0.3427031381
130	0.3426271817
131	0.3426210622
132	0.3426203313
133	0.3425907763
134	0.3425709571
135	0.3425494094
136	0.3425490782
137	0.342524104
138	0.3424967306
139	0.3424209933
140	0.3423997208
141	0.3423920333
142	0.342336967
143	0.3423171759
144	0.3422628877
145	0.3422500729
146	0.3422478573
147	0.3422271109
148	0.3422267974
149	0.3422234634
150	0.3422210422
151	0.3422001654
152	0.3421935424
153	0.3421736754
154	0.3421539151
155	0.342146283
156	0.3421289844
157	0.3421253506
158	0.3421160991
159	0.342110122
160	0.3420787332
161	0.3420571572
162	0.3420448908
163	0.3420324977
164	0.342006272
165	0.3419766863
166	0.3419710581
167	0.3419706843
168	0.3419690431
169	0.3419681916
170	0.3419662569
171	0.3419458868
172	0.3419432211
173	0.3419408446
174	0.3419267488
175	0.3419039307
176	0.3418983677
177	0.3418864148
178	0.3418708877
179	0.3418672799
180	0.3418432269
181	0.3418237296
182	0.3417994483
183	0.341798619
184	0.3417807906
185	0.3417584406
186	0.3417337246
187	0.3417262538
188	0.3417207179
189	0.3417004476
190	0.3416819428
191	0.3416597148
192	0.3416559848
193	0.3416335132
194	0.3416253062
195	0.341623289
196	0.3416046362
197	0.3416029593
198	0.3415799362
199	0.3415768046
200	0.3415638292
201	0.3415439266
202	0.3415325593
203	0.3415236164
204	0.3415217504
205	0.3415030451
206	0.341491466
207	0.3414749016
208	0.3414647782
209	0.3414496401
210	0.3414375497
211	0.3414281695
212	0.341414091
213	0.3414133053
214	0.3413946024
215	0.3413782376
216	0.3413745477
217	0.3413632306
218	0.3413554048
219	0.341351857
220	0.3413453339
221	0.3413298225
222	0.3413270234
223	0.3413257625
224	0.3413129375
225	0.3412986078
226	0.3412828872
227	0.341261666
228	0.341248593
229	0.3412123776
230	0.341183808
231	0.3411641809
232	0.3411597369
233	0.340981714
234	0.340966126
235	0.3409613281
236	0.3409166254
237	0.3409164861
238	0.3409152278
239	0.3409143499
240	0.3408889757
241	0.3408708945
242	0.3408499649
243	0.3408476783
244	0.3408380601
245	0.340835884
246	0.3408292917
247	0.3408288772
248	0.3408275005
249	0.3408262308
250	0.3408257537
251	0.3408236669
252	0.3408230498
253	0.3408230223
254	0.3408180302
255	0.3407915446
256	0.3407763766
257	0.3407739827
258	0.3407734291
259	0.3407542989
260	0.3407353001
261	0.340733278
262	0.3407068967
263	0.3407053268
264	0.3406718935
265	0.3406582392
266	0.3406412008
267	0.340634875
268	0.3406077858
269	0.3405872665
270	0.340587167
271	0.3405863267
272	0.340571577
273	0.3405715629
274	0.3405714404
275	0.3405702172
276	0.3405529451
277	0.3405379571
278	0.3405165191
279	0.3404916397
280	0.3404717327
281	0.3404679884
282	0.340455407
283	0.3404526548
284	0.3404326187
285	0.3404157106
286	0.3404055995
287	0.3403862292
288	0.3403841992
289	0.3403737171
290	0.3403587419
291	0.340350245
292	0.3403394538
293	0.3403198195
294	0.340303464
295	0.3402995271
296	0.3402835698
297	0.3402773939
298	0.3402654431
299	0.3402603726
300	0.3402571963
301	0.3402394387
302	0.3402351756
303	0.3402258517
304	0.3402218272
305	0.3402099366
306	0.3402073506
307	0.3401917088
308	0.3401559242
309	0.3401542063
310	0.3401494361
311	0.3401330229
312	0.3401152018
313	0.3400998452
314	0.340099364
315	0.3400886605
316	0.3400713713
317	0.3400587447
318	0.3400396878
319	0.3400390307
320	0.3400364256
321	0.3400241666
322	0.3400114843
323	0.3399897908
324	0.3399758093
325	0.3399734094
326	0.3399630642
327	0.3399502828
328	0.3399227994
329	0.3399041191
330	0.3398859071
331	0.3398839279
332	0.3398669131
333	0.3398668252
334	0.3398505206
335	0.3398439624
336	0.3398406155
337	0.3398211852
338	0.33980366
339	0.3397928465
340	0.339791241
341	0.3397732313
342	0.3397614256
343	0.3397487232
344	0.3397307552
345	0.3397221839
346	0.3397221615
347	0.3397155736
348	0.3397035521
349	0.339681743
350	0.3396527915
351	0.3396406526
352	0.3396385245
353	0.3396273304
354	0.3396262673
355	0.3396241813
356	0.3396078529
357	0.3395981413
358	0.3395980181
359	0.3395880802
360	0.339586798
361	0.3395493168
362	0.3395336876
363	0.3395037757
364	0.3394917584
365	0.3394889823
366	0.3394735063
367	0.3394562022
368	0.3394414766
369	0.3394367114
370	0.3394221655
371	0.3394091933
372	0.3394070552
373	0.3394045334
374	0.3394034792
375	0.3394009497
376	0.3393985625
377	0.3393951341
378	0.3393831039
379	0.3393817456
380	0.3393748285
381	0.3393722313
382	0.3393701135
383	0.3393589802
384	0.3393446233
385	0.3393330259
386	0.3393305351
387	0.3393218791
388	0.3393013077
389	0.3392870896
390	0.3392792888
391	0.339270576
392	0.3392691641
393	0.3392546878
394	0.3392509804
395	0.3392501525
396	0.3392497105
397	0.3392453301
398	0.3392334435
399	0.3392298491
400	0.3392279473
401	0.3392277648
402	0.339226578
403	0.339223353
404	0.3392215511
405	0.3392185625
406	0.33920406
407	0.3391868643
408	0.3391728492
409	0.3391595258
410	0.3391582053
411	0.3391492932
412	0.3391403997
413	0.339130259
414	0.3391168933
415	0.3391029245
416	0.339093058
417	0.3390834053
418	0.3390828733
419	0.339072571
420	0.339062866
421	0.3390512846
422	0.3390415182
423	0.3390275985
424	0.339017546
425	0.3390110965
426	0.3390098465
427	0.3389963728
428	0.3389882326
429	0.3389765106
430	0.3389710668
431	0.3389628706
432	0.3389606517
433	0.338958131
434	0.3389543643
435	0.3389479242
436	0.3389330731
437	0.3389317171
438	0.3389092688
439	0.3389077173
440	0.3388939045
441	0.3388908786
442	0.3388893851
443	0.3388747166
444	0.3388736273
445	0.3388626268
446	0.3388541212
447	0.3388380446
448	0.3388361653
449	0.3388281216
450	0.3388185289
451	0.3388141744
452	0.3387827016
453	0.3387800458
454	0.3387666624
455	0.3387560801
456	0.3387411547
457	0.3387376851
458	0.3387372972
459	0.3387345807
460	0.3387225349
461	0.3387139797
462	0.338695759
463	0.3386937879
464	0.3386842147
465	0.3386701488
466	0.3386606264
467	0.3386468993
468	0.3386294986
469	0.3386271102
470	0.3386253869
471	0.3386157399
472	0.3386124352
473	0.3386015383
474	0.3385991297
475	0.3385979524
476	0.3385872905
477	0.3385852373
478	0.3385824262
479	0.3385715009
480	0.3385624053
481	0.3385432053
482	0.3385298616
483	0.3385245831
484	0.3385091389
485	0.3384914815
486	0.3384889456
487	0.3384871095
488	0.3384816584
489	0.3384807679
490	0.3384781747
491	0.3384654396
492	0.3384620288
493	0.3384396728
494	0.3384253062
495	0.3384233469
496	0.3384227834
497	0.3384163908
498	0.338414981
499	0.3384070936
