iter	Passed	Remaining
0	156	78239
1	345	86056
2	494	81997
3	673	83506
4	805	79723
5	969	79793
6	1101	77590
7	1251	76988
8	1350	73685
9	1479	72489
10	1602	71243
11	1726	70225
12	1842	69004
13	1978	68697
14	2122	68623
15	2266	68552
16	2483	70550
17	2634	70556
18	2783	70460
19	2911	69870
20	3049	69558
21	3189	69307
22	3331	69089
23	3465	68735
24	3602	68456
25	3732	68047
26	3853	67505
27	3979	67083
28	4106	66696
29	4226	66213
30	4332	65551
31	4437	64901
32	4582	64845
33	4693	64324
34	4819	64026
35	4958	63907
36	5095	63761
37	5231	63609
38	5373	63518
39	5517	63449
40	5635	63091
41	5767	62891
42	5897	62678
43	6054	62746
44	6177	62457
45	6326	62444
46	6448	62154
47	6576	61931
48	6693	61611
49	6824	61419
50	6993	61572
51	7124	61383
52	7255	61191
53	7369	60864
54	7545	61050
55	7705	61096
56	7855	61054
57	7989	60882
58	8114	60653
59	8238	60413
60	8384	60342
61	8516	60163
62	8637	59913
63	8767	59729
64	8891	59507
65	9042	59461
66	9178	59317
67	9315	59179
68	9444	58993
69	9546	58640
70	9705	58640
71	9819	58370
72	9934	58110
73	10064	57940
74	10188	57735
75	10327	57615
76	10447	57394
77	10647	57604
78	10830	57716
79	10993	57715
80	11149	57676
81	11294	57571
82	11441	57483
83	11577	57334
84	11713	57187
85	11834	56969
86	11960	56779
87	12090	56607
88	12265	56640
89	12415	56557
90	12556	56434
91	12697	56311
92	12817	56093
93	12965	55999
94	13104	55864
95	13271	55852
96	13400	55673
97	13541	55547
98	13688	55445
99	13831	55326
100	13982	55235
101	14111	55060
102	14241	54890
103	14392	54802
104	14546	54722
105	14674	54544
106	14839	54502
107	14945	54245
108	15090	54132
109	15241	54038
110	15382	53907
111	15503	53708
112	15630	53529
113	15750	53330
114	15883	53175
115	16026	53052
116	16168	52928
117	16321	52838
118	16467	52724
119	16609	52595
120	16755	52482
121	16891	52337
122	17024	52182
123	17168	52060
124	17327	51983
125	17483	51896
126	17615	51737
127	17740	51557
128	17883	51433
129	18008	51255
130	18158	51147
131	18310	51047
132	18444	50895
133	18593	50784
134	18725	50627
135	18859	50477
136	18967	50257
137	19108	50124
138	19249	49992
139	19377	49828
140	19533	49734
141	19707	49685
142	19838	49527
143	19969	49368
144	20101	49214
145	20236	49067
146	20394	48975
147	20511	48784
148	20665	48682
149	20822	48586
150	20992	48520
151	21143	48408
152	21305	48320
153	21446	48184
154	21625	48133
155	21776	48021
156	21902	47851
157	22077	47787
158	22237	47691
159	22379	47555
160	22518	47415
161	22652	47262
162	22803	47146
163	22948	47016
164	23073	46847
165	23199	46677
166	23351	46562
167	23486	46413
168	23648	46317
169	23791	46183
170	23929	46039
171	24040	45845
172	24171	45688
173	24339	45601
174	24512	45523
175	24677	45429
176	24861	45367
177	25028	45276
178	25157	45114
179	25331	45033
180	25481	44908
181	25617	44760
182	25754	44612
183	25891	44466
184	26031	44324
185	26161	44164
186	26294	44012
187	26431	43864
188	26611	43789
189	26739	43626
190	26863	43460
191	27007	43325
192	27180	43235
193	27325	43101
194	27507	43024
195	27672	42920
196	27893	42902
197	28013	42728
198	28153	42584
199	28294	42442
200	28441	42308
201	28573	42153
202	28725	42027
203	28916	41957
204	29105	41883
205	29270	41774
206	29439	41669
207	29674	41657
208	29829	41532
209	29964	41379
210	30111	41242
211	30291	41151
212	30453	41033
213	30586	40877
214	30732	40739
215	30881	40602
216	31034	40473
217	31188	40345
218	31320	40188
219	31440	40015
220	31591	39882
221	31782	39799
222	31958	39697
223	32108	39561
224	32275	39447
225	32434	39323
226	32576	39177
227	32712	39025
228	32843	38867
229	32975	38710
230	33116	38564
231	33259	38420
232	33407	38282
233	33535	38122
234	33676	37976
235	33849	37865
236	34002	37733
237	34151	37595
238	34336	37497
239	34507	37382
240	34654	37242
241	34785	37085
242	34924	36936
243	35081	36806
244	35236	36675
245	35399	36550
246	35557	36421
247	35706	36282
248	35872	36160
249	36044	36044
250	36188	35900
251	36309	35733
252	36426	35562
253	36562	35410
254	36700	35261
255	36848	35121
256	36981	34966
257	37143	34840
258	37256	34666
259	37379	34504
260	37516	34353
261	37675	34224
262	37776	34041
263	37934	33911
264	38060	33751
265	38182	33589
266	38319	33440
267	38429	33267
268	38577	33127
269	38717	32981
270	38869	32845
271	39010	32700
272	39138	32543
273	39288	32406
274	39449	32277
275	39584	32126
